"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2019","11,840.45","11,908.30","11,946.80","11,823.20","659.04K","-0.61%"
"Nov 11, 2019","11,913.45","11,879.20","11,932.65","11,853.95","548.98K","0.04%"
"Nov 08, 2019","11,908.15","11,987.15","12,034.15","11,888.75","789.25K","-0.86%"
"Nov 07, 2019","12,012.05","12,021.10","12,021.40","11,946.85","562.96K","0.38%"
"Nov 06, 2019","11,966.05","11,911.50","12,002.90","11,850.25","603.35K","0.41%"
"Nov 05, 2019","11,917.20","11,974.60","11,978.95","11,861.90","631.95K","-0.20%"
"Nov 04, 2019","11,941.30","11,928.90","11,989.15","11,905.35","823.05K","0.43%"
"Nov 01, 2019","11,890.60","11,886.60","11,918.30","11,843.35","855.34K","0.11%"
"Oct 31, 2019","11,877.45","11,890.45","11,945.00","11,855.10","1.41M","0.28%"
"Oct 30, 2019","11,844.10","11,883.90","11,883.95","11,784.45","725.22K","0.49%"
"Oct 29, 2019","11,786.85","11,643.95","11,809.40","11,627.35","951.72K","1.75%"
"Oct 25, 2019","11,583.90","11,646.15","11,646.90","11,490.75","812.03K","0.01%"
"Oct 24, 2019","11,582.60","11,661.65","11,679.60","11,534.65","700.48K","-0.19%"
"Oct 23, 2019","11,604.10","11,596.20","11,651.60","11,554.40","664.16K","0.14%"
"Oct 22, 2019","11,588.35","11,657.15","11,714.35","11,573.65","867.60K","-0.63%"
"Oct 18, 2019","11,661.85","11,580.30","11,684.70","11,553.15","853.44K","0.65%"
"Oct 17, 2019","11,586.35","11,466.30","11,599.10","11,439.65","797.57K","1.07%"
"Oct 16, 2019","11,464.00","11,464.95","11,481.05","11,411.10","533.47K","0.31%"
"Oct 15, 2019","11,428.30","11,360.85","11,462.35","11,342.10","527.40K","0.77%"
"Oct 14, 2019","11,341.15","11,335.90","11,420.45","11,290.05","587.58K","0.32%"
"Oct 11, 2019","11,305.05","11,257.70","11,362.90","11,189.40","737.80K","0.63%"
"Oct 10, 2019","11,234.55","11,280.50","11,293.35","11,208.55","562.02K","-0.70%"
"Oct 09, 2019","11,313.30","11,152.95","11,321.60","11,090.15","741.15K","1.68%"
"Oct 07, 2019","11,126.40","11,196.20","11,233.85","11,112.65","733.20K","-0.43%"
"Oct 04, 2019","11,174.75","11,388.45","11,400.30","11,158.35","928.52K","-1.23%"
"Oct 03, 2019","11,314.00","11,322.25","11,370.40","11,257.35","1.02M","-0.40%"
"Oct 01, 2019","11,359.90","11,515.40","11,554.20","11,247.90","1.31M","-1.00%"
"Sep 30, 2019","11,474.45","11,491.15","11,508.25","11,390.80","756.85K","-0.33%"
"Sep 27, 2019","11,512.40","11,556.35","11,593.60","11,499.75","650.02K","-0.51%"
"Sep 26, 2019","11,571.20","11,469.85","11,610.85","11,466.35","844.47K","1.15%"
"Sep 25, 2019","11,440.20","11,564.85","11,564.95","11,416.10","629.06K","-1.28%"
"Sep 24, 2019","11,588.20","11,590.70","11,655.05","11,539.20","651.72K","-0.10%"
"Sep 23, 2019","11,600.20","11,542.70","11,694.85","11,471.35","882.83K","2.89%"
"Sep 20, 2019","11,274.20","10,746.80","11,381.90","10,691.00","1.36M","5.32%"
"Sep 19, 2019","10,704.80","10,845.20","10,845.20","10,670.25","642.60K","-1.25%"
"Sep 18, 2019","10,840.65","10,872.80","10,885.15","10,804.85","519.16K","0.21%"
"Sep 17, 2019","10,817.60","11,000.10","11,000.10","10,796.50","482.01K","-1.69%"
"Sep 16, 2019","11,003.50","10,994.85","11,052.70","10,968.20","434.45K","-0.65%"
"Sep 13, 2019","11,075.90","10,986.80","11,084.45","10,945.75","624.31K","0.85%"
"Sep 12, 2019","10,982.80","11,058.30","11,081.75","10,964.95","551.44K","-0.48%"
"Sep 11, 2019","11,035.70","11,028.50","11,054.80","11,011.65","687.14K","0.30%"
"Sep 09, 2019","11,003.05","10,936.70","11,028.85","10,889.80","412.47K","0.52%"
"Sep 06, 2019","10,946.20","10,883.80","10,957.05","10,867.45","497.21K","0.91%"
"Sep 05, 2019","10,847.90","10,860.95","10,920.10","10,816.00","595.70K","0.03%"
"Sep 04, 2019","10,844.65","10,790.40","10,858.75","10,746.35","508.78K","0.43%"
"Sep 03, 2019","10,797.90","10,960.95","10,967.50","10,772.70","483.04K","-2.04%"
"Aug 30, 2019","11,023.25","10,987.80","11,042.60","10,874.80","628.15K","0.68%"
"Aug 29, 2019","10,948.30","10,996.05","11,021.10","10,922.40","649.88K","-0.89%"
"Aug 28, 2019","11,046.10","11,101.30","11,129.65","10,987.65","549.96K","-0.53%"
"Aug 27, 2019","11,105.35","11,106.55","11,141.75","11,049.50","685.55K","0.43%"
"Aug 26, 2019","11,057.85","11,000.30","11,070.30","10,756.55","684.14K","2.11%"
"Aug 23, 2019","10,829.35","10,699.60","10,862.55","10,637.15","667.08K","0.82%"
"Aug 22, 2019","10,741.35","10,905.30","10,908.25","10,718.30","668.19K","-1.62%"
"Aug 21, 2019","10,918.70","11,018.15","11,034.20","10,906.65","557.87K","-0.89%"
